Date : 2020-10-04 11:41:50
Directory : d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app
Total : 249 files,  11934 codes, 171 comments, 955 blanks, all 13060 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib\screens\homework_details\peer_comment                                                                                                                                                            |          4 |        433 |          0 |         38 |        471 |
| lib\screens\homework_details\submitsheet                                                                                                                                                             |          4 |        552 |          0 |         30 |        582 |
| lib\screens\lesson                                                                                                                                                                                   |         11 |      1,283 |         11 |        126 |      1,420 |
| lib\screens\lesson\group                                                                                                                                                                             |          7 |        777 |         11 |         74 |        862 |
| lib\screens\lesson\group\group_for_stu                                                                                                                                                               |          5 |        632 |         10 |         58 |        700 |
| lib\screens\lesson\group\group_for_tea                                                                                                                                                               |          2 |        145 |          1 |         16 |        162 |
| lib\screens\login                                                                                                                                                                                    |          3 |        277 |          7 |         31 |        315 |
| lib\screens\screen_rate_comment_bloc                                                                                                                                                                 |          8 |        543 |          8 |         64 |        615 |
| lib\screens\setting                                                                                                                                                                                  |          8 |        767 |         13 |         72 |        852 |
| lib\screens\setting\screen_change_pwd                                                                                                                                                                |          7 |        527 |          5 |         67 |        599 |
| lib\screens\sign_up                                                                                                                                                                                  |          1 |        155 |          1 |         15 |        171 |
| lib\utils                                                                                                                                                                                            |          6 |        230 |          8 |         60 |        298 |
| test                                                                                                                                                                                                 |          1 |         14 |         10 |          7 |         31 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                             | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\README.md                                                                                                                     | Markdown   |         10 |          0 |          7 |         17 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\codeStyles\Project.xml                                                                                      | XML        |        134 |          0 |          0 |        134 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\gradle.xml                                                                                                  | XML        |         42 |          0 |          0 |         42 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\jarRepositories.xml                                                                                         | XML        |         35 |          0 |          0 |         35 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle_______build_app_intermediates_flutter_debug_libs_jar.xml                                   | XML        |          9 |          0 |          0 |          9 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_activity_activity_1_0_0_aar.xml                                                  | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_annotation_annotation_1_1_0_jar.xml                                              | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_arch_core_core_common_2_1_0_jar.xml                                              | XML        |         11 |          0 |          0 |         11 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_arch_core_core_runtime_2_0_0_aar.xml                                             | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_asynclayoutinflater_asynclayoutinflater_1_0_0_aar.xml                            | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_collection_collection_1_1_0_jar.xml                                              | XML        |         11 |          0 |          0 |         11 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_coordinatorlayout_coordinatorlayout_1_0_0_aar.xml                                | XML        |         16 |          0 |          0 |         16 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_core_core_1_1_0_aar.xml                                                          | XML        |         16 |          0 |          0 |         16 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_cursoradapter_cursoradapter_1_0_0_aar.xml                                        | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_customview_customview_1_0_0_aar.xml                                              | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_documentfile_documentfile_1_0_0_aar.xml                                          | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_drawerlayout_drawerlayout_1_0_0_aar.xml                                          | XML        |         16 |          0 |          0 |         16 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_fragment_fragment_1_1_0_aar.xml                                                  | XML        |         16 |          0 |          0 |         16 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_interpolator_interpolator_1_0_0_aar.xml                                          | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_legacy_legacy_support_core_ui_1_0_0_aar.xml                                      | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_legacy_legacy_support_core_utils_1_0_0_aar.xml                                   | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_legacy_legacy_support_v4_1_0_0_aar.xml                                           | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_lifecycle_lifecycle_common_2_2_0_jar.xml                                         | XML        |         11 |          0 |          0 |         11 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_lifecycle_lifecycle_common_java8_2_2_0_jar.xml                                   | XML        |         11 |          0 |          0 |         11 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_lifecycle_lifecycle_livedata_2_0_0_aar.xml                                       | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_lifecycle_lifecycle_livedata_core_2_0_0_aar.xml                                  | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_lifecycle_lifecycle_runtime_2_2_0_aar.xml                                        | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_lifecycle_lifecycle_viewmodel_2_1_0_aar.xml                                      | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_loader_loader_1_0_0_aar.xml                                                      | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_localbroadcastmanager_localbroadcastmanager_1_0_0_aar.xml                        | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_media_media_1_0_0_aar.xml                                                        | XML        |         16 |          0 |          0 |         16 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_print_print_1_0_0_aar.xml                                                        | XML        |         16 |          0 |          0 |         16 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_savedstate_savedstate_1_0_0_aar.xml                                              | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_slidingpanelayout_slidingpanelayout_1_0_0_aar.xml                                | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_swiperefreshlayout_swiperefreshlayout_1_0_0_aar.xml                              | XML        |         16 |          0 |          0 |         16 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_test_espresso_espresso_core_3_1_1_aar.xml                                        | XML        |         15 |          0 |          0 |         15 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_test_espresso_espresso_idling_resource_3_1_1_aar.xml                             | XML        |         15 |          0 |          0 |         15 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_test_monitor_1_1_1_aar.xml                                                       | XML        |         15 |          0 |          0 |         15 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_test_runner_1_1_1_aar.xml                                                        | XML        |         15 |          0 |          0 |         15 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_versionedparcelable_versionedparcelable_1_1_0_aar.xml                            | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_viewpager_viewpager_1_0_0_aar.xml                                                | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_annotations_4_1_1_4_jar.xml                                            | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_gms_play_services_ads_identifier_17_0_0_aar.xml                        | XML        |         11 |          0 |          0 |         11 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_gms_play_services_base_16_0_1_aar.xml                                  | XML        |         11 |          0 |          0 |         11 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_gms_play_services_base_17_0_0_aar.xml                                  | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_gms_play_services_base_17_1_0_aar.xml                                  | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_gms_play_services_basement_16_0_1_aar.xml                              | XML        |         11 |          0 |          0 |         11 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_gms_play_services_basement_16_1_0_aar.xml                              | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_gms_play_services_basement_17_0_0_aar.xml                              | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_gms_play_services_measurement_17_2_2_aar.xml                           | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_gms_play_services_measurement_api_17_2_2_aar.xml                       | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_gms_play_services_measurement_base_17_2_2_aar.xml                      | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_gms_play_services_measurement_impl_17_2_2_aar.xml                      | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_gms_play_services_measurement_sdk_17_2_2_aar.xml                       | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_gms_play_services_measurement_sdk_api_17_2_2_aar.xml                   | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_gms_play_services_stats_17_0_0_aar.xml                                 | XML        |         11 |          0 |          0 |         11 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_gms_play_services_tasks_16_0_1_aar.xml                                 | XML        |         11 |          0 |          0 |         11 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_android_gms_play_services_tasks_17_0_0_aar.xml                                 | XML        |         11 |          0 |          0 |         11 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_auto_value_auto_value_annotations_1_6_3_jar.xml                                | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_auto_value_auto_value_annotations_1_6_5_jar.xml                                | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_auto_value_auto_value_annotations_1_6_jar.xml                                  | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_code_findbugs_jsr305_3_0_2_jar.xml                                             | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_code_gson_gson_2_7_jar.xml                                                     | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_code_gson_gson_2_8_5_jar.xml                                                   | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_errorprone_error_prone_annotations_2_3_2_jar.xml                               | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_analytics_17_2_2_aar.xml                                     | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_auth_19_2_0_aar.xml                                          | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_auth_19_3_1_aar.xml                                          | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_auth_interop_17_0_0_aar.xml                                  | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_auth_interop_18_0_0_aar.xml                                  | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_auth_interop_19_0_0_aar.xml                                  | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_common_16_1_0_aar.xml                                        | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_common_17_0_0_aar.xml                                        | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_common_19_3_0_aar.xml                                        | XML        |         15 |          0 |          0 |         15 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_components_16_0_0_aar.xml                                    | XML        |         15 |          0 |          0 |         15 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_database_17_0_0_aar.xml                                      | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_database_collection_16_0_1_aar.xml                           | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_database_collection_17_0_0_aar.xml                           | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_database_collection_17_0_1_aar.xml                           | XML        |         15 |          0 |          0 |         15 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_firestore_21_3_0_aar.xml                                     | XML        |         15 |          0 |          0 |         15 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_firestore_21_4_3_aar.xml                                     | XML        |         15 |          0 |          0 |         15 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_iid_20_0_2_aar.xml                                           | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_iid_interop_17_0_0_aar.xml                                   | XML        |         11 |          0 |          0 |         11 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_measurement_connector_18_0_0_aar.xml                         | XML        |         11 |          0 |          0 |         11 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_firebase_storage_17_0_0_aar.xml                                       | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_firebase_protolite_well_known_types_17_0_0_aar.xml                             | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_guava_guava_26_0_android_jar.xml                                               | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_guava_listenablefuture_9999_0_empty_to_avoid_conflict_with_guava_jar.xml       | XML        |          9 |          0 |          0 |          9 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_j2objc_j2objc_annotations_1_1_jar.xml                                          | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_google_protobuf_protobuf_lite_3_0_1_jar.xml                                           | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_squareup_javawriter_2_1_1_jar.xml                                                     | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_squareup_okhttp_okhttp_2_7_5_jar.xml                                                  | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__com_squareup_okio_okio_1_13_0_jar.xml                                                     | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__commons_io_commons_io_2_6_jar.xml                                                         | XML        |         13 |          0 |          0 |         13 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__io_flutter_arm64_v8a_debug_1_0_0_2abe69c6081888f28217d8dece4fde2f5490fbab_jar.xml         | XML        |          9 |          0 |          0 |          9 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__io_flutter_armeabi_v7a_debug_1_0_0_2abe69c6081888f28217d8dece4fde2f5490fbab_jar.xml       | XML        |          9 |          0 |          0 |          9 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__io_flutter_flutter_embedding_debug_1_0_0_2abe69c6081888f28217d8dece4fde2f5490fbab_jar.xml | XML        |         11 |          0 |          0 |         11 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__io_flutter_x86_64_debug_1_0_0_2abe69c6081888f28217d8dece4fde2f5490fbab_jar.xml            | XML        |          9 |          0 |          0 |          9 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__io_flutter_x86_debug_1_0_0_2abe69c6081888f28217d8dece4fde2f5490fbab_jar.xml               | XML        |          9 |          0 |          0 |          9 |
| d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__io_grpc_grpc_android_1_21_0_aar.xml                                                       | XML        |         15 |          0 |          0 |         15 |
